platform,searchTime,searchQuery,searchInteractionURIs
ANDROID,2021-06-14 12:38:58,criolo e emicida,['spotify:album:3xfZtthn2dlFtFfyyYKEf8']
ANDROID,2021-06-14 13:54:04,djonga,"['spotify:artist:204IwDdaHE4ymGk9Kya2pY', 'spotify:album:1BGWFAkM0Oz88Dq7v369eP']"
ANDROID,2021-06-14 20:41:26,aerosmith,"['spotify:artist:7Ey4PD4MYsKc5I2dolUwbH', 'spotify:playlist:37i9dQZF1DWWsq4e0rDzty']"
ANDROID,2021-06-15 17:06:45,arctic monkeys,"['spotify:playlist:68jEdy5uA0g2mTuNmZH6Fd', 'spotify:playlist:13613ThuKFHn8T25iS7BDi']"
ANDROID,2021-06-16 08:52:02,budah,['spotify:artist:08zSkHjCY3ypH4gdBVHWgO']
ANDROID,2021-06-16 22:27:15,lana del rey rockwell,['spotify:album:5XpEKORZ4y6OrCZSKsi46A']
ANDROID,2021-06-22 15:55:49,jazz,['spotify:playlist:3dvqvkUjn5Qk0RGU7JU8OH']
ANDROID,2021-06-23 15:50:17,miles davis,[]
ANDROID,2021-06-23 15:51:01,eu não sou tão bom assim,"['spotify:playlist:5JrFuY4zzcza5VNDR3OJyC', 'spotify:playlist:1WvLy6yU5MqN1de0hBvja3', 'spotify:playlist:1RXWFL0xPwH5AfqNPKmWGj']"
ANDROID,2021-06-24 02:48:42,little broken hearts,[]
ANDROID,2021-07-03 14:44:32,3030,['spotify:playlist:3dvqvkUjn5Qk0RGU7JU8OH']
ANDROID,2021-07-14 13:14:38,songbook chris cornel,['spotify:album:24QtdNLprYc0U57zdMcQoc']
ANDROID,2021-07-14 13:18:42,johnny cash,"['spotify:artist:6kACVPfCOnqzgfEF5ryl0x', 'spotify:playlist:37i9dQZF1DX2e5iuTsMOoD']"
ANDROID,2021-07-14 13:37:04,the doors,['spotify:playlist:37i9dQZF1DX0XK1VdFMbTA']
ANDROID,2021-07-15 14:29:03,pink floyd,['spotify:playlist:37i9dQZF1DWWsq4e0rDzty']
ANDROID,2021-07-18 17:49:50,tiago iorc,['spotify:artist:4iWkwAVzssjb8XgxdoOL6M']
ANDROID,2021-07-18 17:51:46,tiago iorc troco likes,['spotify:album:7H1YuQLC6lmpcqgKhZncU1']
ANDROID,2021-07-18 18:08:24,beethoven,['spotify:artist:2wOqMjp9TyABvtHdOSOTUS']
ANDROID,2021-07-18 18:08:39,vivaldi,['spotify:artist:2QOIawHpSlOwXDvSqQ9YJR']
ANDROID,2021-07-18 18:11:22,metallica,['spotify:playlist:37i9dQZF1E4EBdeEVqipSd']
ANDROID,2021-07-18 18:11:35,velver underground,"['spotify:playlist:37i9dQZF1DWU0FBqUeZYeN', 'spotify:playlist:37i9dQZF1DZ06evO0L6UdW']"
ANDROID,2021-07-18 18:13:00,velver revolver,"['spotify:artist:7CHilrn81OdYjkh4uSVnYM', 'spotify:playlist:37i9dQZF1DWVEG2SF7lN2q', 'spotify:playlist:37i9dQZF1E4tVdRpjL6DVi', 'spotify:playlist:37i9dQZF1DX6HzfoNVFOPu']"
ANDROID,2021-07-18 18:13:34,djonga,"['spotify:playlist:37i9dQZF1DZ06evO18bmQy', 'spotify:playlist:37i9dQZF1E4z3VtVFwtcIA', 'spotify:playlist:37i9dQZF1DXbbBJ8C1wekz']"
ANDROID,2021-07-18 18:15:50,pearl jam,"['spotify:artist:1w5Kfo2jwwIPruYS2UWh56', 'spotify:playlist:37i9dQZF1DX6YTj07PjLwE', 'spotify:playlist:37i9dQZF1DX9qRMAPlxxDn']"
ANDROID,2021-07-18 18:16:09,sound,"['spotify:artist:5xUf6j4upBrXZPg6AI4MRK', 'spotify:playlist:37i9dQZF1DX024QaIPhrkq', 'spotify:playlist:37i9dQZF1DXaLI8a395lse', 'spotify:playlist:37i9dQZF1DX4jSCizAzbyM']"
ANDROID,2021-07-18 18:16:42,black sabbath,"['spotify:playlist:37i9dQZF1DWWOaP4H0w5b0', 'spotify:artist:5M52tdBnJaKSvOpJGz8mfZ']"
ANDROID,2021-07-18 18:30:20,djonga,"['spotify:playlist:37i9dQZF1DX0prPGsXNyt4', 'spotify:playlist:37i9dQZF1DX7f8PyAQL3rz', 'spotify:album:3dCALWYm5dnvz0SS8kRi2k', 'spotify:album:1BGWFAkM0Oz88Dq7v369eP', 'spotify:artist:204IwDdaHE4ymGk9Kya2pY']"
ANDROID,2021-07-18 18:32:03,cronixta,['spotify:artist:5BGPgNyveXI7oJlXOVuSWc']
ANDROID,2021-07-18 18:32:15,makalister,['spotify:artist:1RoerHIsbQo1h0V8KpznKV']
ANDROID,2021-07-20 00:29:57,norah,"['spotify:artist:2Kx7MNY7cI1ENniW7vT30N', 'spotify:artist:2Kx7MNY7cI1ENniW7vT30N', 'spotify:playlist:37i9dQZF1DX6e81LupkkgG']"
ANDROID,2021-07-20 15:12:07,zayn,['spotify:artist:5ZsFI1h6hIdQRw2ti0hz81']
ANDROID,2021-07-20 15:12:36,passenger,['spotify:artist:0gadJ2b9A4SKsB1RFkBb66']
ANDROID,2021-05-08 14:33:01,melhores rap roma,['spotify:playlist:27yXXsKK8JBZiymoNnXHde']
ANDROID,2021-05-15 17:24:25,rael,['spotify:artist:0GWNKI3VPEcJsOIEhUjmxd']
ANDROID,2021-05-19 05:22:17,vit,['spotify:artist:06lnOkY99sXVW44Y0M4BDP']
ANDROID,2021-05-26 15:56:55,quando o gra,[]
ANDROID,2021-05-31 20:56:32,rap 2020,['spotify:playlist:0DmSdNrUjJWqXD7UnUGVn8']
ANDROID,2021-05-31 20:56:52,djonga procurp,['spotify:playlist:0630dQBuuU2WkdFlmOJw3h']
ANDROID,2021-06-01 01:35:50,melhores rap romantico,['spotify:playlist:27yXXsKK8JBZiymoNnXHde']
ANDROID,2021-06-01 02:11:19,romeu e julieta vitao,"['spotify:track:3ALTiudfQayFosZxk344vk', 'spotify:playlist:6D6rzSUVFIprxBNxVcJpfT']"
ANDROID,2021-06-04 01:26:33,pumba,['spotify:track:2KzVaixEDiBv93yJXGRgOt']
ANDROID,2021-06-04 01:48:02,cristal,['spotify:artist:6i4nbGTS2gSP0e6emkTqdX']
ANDROID,2021-06-04 02:04:21,rap romantico 2021,"['spotify:playlist:7Lb2VbHVoOdb5xCVYXuIUw', 'spotify:playlist:2PWZxzTRF0XVCSmNtRLfb3', 'spotify:playlist:3luJyaKuJrZzdi1wEbshKv', 'spotify:playlist:0Nc4NjUIj3YWSoXVeMp9y7', 'spotify:playlist:63S3J9WrYmXCtMS1pX9etP', 'spotify:playlist:4nnAzofGUmUPZX8x9VtSMr', 'spotify:playlist:7Lb2VbHVoOdb5xCVYXuIUw']"
ANDROID,2021-06-04 02:06:30,rap romantico 2021,['spotify:playlist:4bjcNuQ0RkVygfDkhKQGNx']
ANDROID,2021-06-04 03:07:04,salve ma,['spotify:artist:7zxFc10N9BP2lg73b8cwZ0']
ANDROID,2021-06-15 08:57:45,djonga,['spotify:artist:204IwDdaHE4ymGk9Kya2pY']
ANDROID,2021-06-17 01:47:18,arc,"['spotify:artist:7Ln80lUS6He07XvHI8qqHH', 'spotify:playlist:37i9dQZF1DWWbVYL1LBbVy', 'spotify:artist:7Ln80lUS6He07XvHI8qqHH', 'spotify:playlist:13613ThuKFHn8T25iS7BDi']"
ANDROID,2021-06-17 01:51:26,man high castle resistance,"['spotify:album:6wp5uATZ1wfcngYTJ7QBOm', 'spotify:playlist:4PCX1FEQCVH5kP1UEbpOXa', 'spotify:album:6wp5uATZ1wfcngYTJ7QBOm']"
ANDROID,2021-06-21 10:38:47,eu não sou,"['spotify:track:4Sz4wqydJaWpFfR2QoaLCJ', 'spotify:track:4Sz4wqydJaWpFfR2QoaLCJ', 'spotify:album:3UAkGQKLrPhS0Qasld0sp6', 'spotify:album:3UAkGQKLrPhS0Qasld0sp6', 'spotify:track:03Oqtm4MwWJdkGy01uSgsZ', 'spotify:track:4Sz4wqydJaWpFfR2QoaLCJ']"
ANDROID,2021-06-21 10:56:29,eu não sou tão bom assim,['spotify:playlist:5JrFuY4zzcza5VNDR3OJyC']
ANDROID,2021-06-21 10:56:56,eu não sou tão bom assim,"['spotify:playlist:2ZfQALxMD7wnMHyFiX6x3m', 'spotify:playlist:4v0jOfQPkfbNjFgAkpk0qC', 'spotify:playlist:3A2yF0Bih62ny8nWPyjuDz', 'spotify:playlist:2ZfQALxMD7wnMHyFiX6x3m', 'spotify:playlist:4v0jOfQPkfbNjFgAkpk0qC', 'spotify:playlist:5rdhpA82obHFRfnV7Xva98', 'spotify:playlist:3A2yF0Bih62ny8nWPyjuDz', 'spotify:playlist:5rdhpA82obHFRfnV7Xva98']"
ANDROID,2021-06-21 14:18:51,eu não sou tão bom assim,"['spotify:playlist:2ZfQALxMD7wnMHyFiX6x3m', 'spotify:playlist:1RXWFL0xPwH5AfqNPKmWGj']"
ANDROID,2021-06-21 23:43:31,djonga,['spotify:album:3dCALWYm5dnvz0SS8kRi2k']
ANDROID,2021-06-21 23:43:49,cristal,['spotify:artist:6i4nbGTS2gSP0e6emkTqdX']
ANDROID,2021-06-21 23:44:21,djonga,['spotify:artist:204IwDdaHE4ymGk9Kya2pY']
ANDROID,2021-06-21 23:44:41,budah,['spotify:artist:08zSkHjCY3ypH4gdBVHWgO']
ANDROID,2021-07-24 03:50:30,postmodern,"['spotify:playlist:5rnfmkX6l2IqKg7AldxWsI', 'spotify:artist:5HYNPEO2NNBONQkp3Mvwvc', 'spotify:playlist:7csrlizJurpn6y0xenTwzu']"
ANDROID,2021-07-24 03:51:21,beethoven,"['spotify:artist:2wOqMjp9TyABvtHdOSOTUS', 'spotify:artist:2wOqMjp9TyABvtHdOSOTUS', 'spotify:playlist:37i9dQZF1DX12YIlzNkccL']"
ANDROID,2021-07-24 03:51:55,bach,['spotify:artist:5aIqB5nVVvmFsvSdExz408']
ANDROID,2021-07-24 03:52:03,vivaldi,"['spotify:artist:2QOIawHpSlOwXDvSqQ9YJR', 'spotify:playlist:37i9dQZF1DWTBNkoD4HmYd']"
ANDROID,2021-07-24 03:52:27,ella fi,['spotify:artist:5V0MlUE1Bft0mbLlND7FJz']
ANDROID,2021-07-24 03:52:31,ella f,['spotify:playlist:37i9dQZF1DWWAvZ9cCYSzI']
ANDROID,2021-07-24 03:52:46,miles,"['spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4', 'spotify:playlist:37i9dQZF1DX3BqHI5fuXWV', 'spotify:playlist:37i9dQZF1DX7fEiwpooXwB', 'spotify:playlist:37i9dQZF1DXbITWG1ZJKYt', 'spotify:album:1weenld61qoidwYuZ1GESA', 'spotify:playlist:37i9dQZF1E4ycgaNdlRYCs', 'spotify:playlist:37i9dQZF1DX3BqHI5fuXWV']"
ANDROID,2021-07-24 03:55:27,pe squad,['spotify:artist:126yKp1j9i2BidJ6c1JPj5']
ANDROID,2021-07-24 03:56:33,blues,"['spotify:playlist:0WEvguGJN7UslUZN5Wpm8B', 'spotify:playlist:1w34JrNa6VEFkKc3cJsn9c', 'spotify:playlist:37i9dQZF1DXd9rSDyQguIk', 'spotify:playlist:37i9dQZF1DX2iUghHXGIjj', 'spotify:playlist:7wNoM5u5hW2ZKU4FhodYSz', 'spotify:playlist:37i9dQZF1DXbkKnGZHv1kf']"
ANDROID,2021-07-24 03:57:49,blues,['spotify:playlist:7uAGy7qbOhWgtXcyb5kvmn']
ANDROID,2021-07-24 03:58:09,blues,"['spotify:playlist:7uAGy7qbOhWgtXcyb5kvmn', 'spotify:playlist:4LvF1pNeM6XDK9IojLALKb', 'spotify:playlist:7uAGy7qbOhWgtXcyb5kvmn']"
ANDROID,2021-07-24 03:58:39,blues,"['spotify:playlist:37i9dQZF1DX9GSZDbrndTa', 'spotify:playlist:0iPBNMgFqo1ybPZes0vpwO', 'spotify:playlist:4NDZh9ULqIo3GTvdt68xi3', 'spotify:playlist:37i9dQZF1DX9cTwPMorHcH']"
ANDROID,2021-07-24 03:59:20,blues,"['spotify:playlist:3Odwaa8CUQ7xO7q9eCV9XQ', 'spotify:playlist:2ZGM6l83gbdDF1I7jGdmJA', 'spotify:playlist:37i9dQZF1DX8QB9Ys2nV17', 'spotify:playlist:37i9dQZF1DX8QB9Ys2nV17', 'spotify:playlist:7f6sVQGzQLYtH8b7KklFp4']"
ANDROID,2021-07-24 04:00:41,don's,"['spotify:user:dondraperstunes', 'spotify:user:dondraperstunes']"
ANDROID,2021-07-24 04:04:15,ceiolo,"['spotify:artist:37ZflmHTdxkSLQuT8w9NBs', 'spotify:playlist:37i9dQZF1DWWsfIdwltZ7x']"
ANDROID,2021-07-24 04:09:51,logic,['spotify:artist:4xRYI6VqpkE3UwrDrAZL8L']
ANDROID,2021-07-24 04:34:42,pos,"['spotify:artist:5HYNPEO2NNBONQkp3Mvwvc', 'spotify:playlist:5rnfmkX6l2IqKg7AldxWsI']"
ANDROID,2021-07-24 04:37:29,don,['spotify:playlist:0WEvguGJN7UslUZN5Wpm8B']
