title,time,year,month,day_week,date,hour
 criolo,2020-12-19 01:07:03,2020,December,Saturday,2020-12-19,1
 rael hoje é dia de ver,2020-12-19 00:59:59,2020,December,Saturday,2020-12-19,0
 chaveco,2020-12-18 23:05:13,2020,December,Friday,2020-12-18,23
 educando web,2020-12-17 00:10:08,2020,December,Thursday,2020-12-17,0
 sql,2020-12-06 17:58:07,2020,December,Sunday,2020-12-06,17
 manual do brasil,2020-12-04 01:41:57,2020,December,Friday,2020-12-04,1
 Pix me poupe,2020-12-02 20:08:49,2020,December,Wednesday,2020-12-02,20
 bongar dvd,2020-11-30 14:41:23,2020,November,Monday,2020-11-30,14
 bongar,2020-11-30 14:34:10,2020,November,Monday,2020-11-30,14
 space today,2020-11-28 18:09:29,2020,November,Saturday,2020-11-28,18
 todo homem,2020-11-13 15:34:41,2020,November,Friday,2020-11-13,15
 cnn clovis de barros,2020-11-07 13:21:44,2020,November,Saturday,2020-11-07,13
 relato parto cesarea,2020-11-06 17:13:59,2020,November,Friday,2020-11-06,17
 carlos posada,2020-11-05 12:21:01,2020,November,Thursday,2020-11-05,12
Visited https://rafaoutsystems.com/pi-sp7x-11-2020?source=google,2020-11-02 14:45:05,2020,November,Monday,2020-11-02,14
 zach condon hallelujah,2020-11-02 07:00:13,2020,November,Monday,2020-11-02,7
 a verdade da mentira filme completo,2020-10-27 03:48:09,2020,October,Tuesday,2020-10-27,3
 a verdade da mentira,2020-10-27 03:47:32,2020,October,Tuesday,2020-10-27,3
 space today,2020-10-24 07:29:46,2020,October,Saturday,2020-10-24,7
 sistema solar zabot,2020-10-24 07:29:07,2020,October,Saturday,2020-10-24,7
 sepex em casa,2020-10-24 07:28:07,2020,October,Saturday,2020-10-24,7
 o amor é um tubarão,2020-10-23 22:35:25,2020,October,Friday,2020-10-23,22
 carro do ovo vinheta,2020-10-07 00:45:54,2020,October,Wednesday,2020-10-07,0
 mulher trader,2020-10-02 05:30:00,2020,October,Friday,2020-10-02,5
 ben zruel,2020-10-02 04:47:48,2020,October,Friday,2020-10-02,4
 sonhos caetano,2020-10-02 04:04:39,2020,October,Friday,2020-10-02,4
 como funciona calculadora de leibniz,2020-09-24 23:04:01,2020,September,Thursday,2020-09-24,23
 funcionamento calculadora de leibniz,2020-09-24 22:59:57,2020,September,Thursday,2020-09-24,22
 calculadora de leibniz,2020-09-24 22:56:45,2020,September,Thursday,2020-09-24,22
 Renda extra,2020-09-15 19:27:27,2020,September,Tuesday,2020-09-15,19
 bipolaridade borderline,2020-09-15 04:30:43,2020,September,Tuesday,2020-09-15,4
 bipolaridade,2020-09-15 04:25:31,2020,September,Tuesday,2020-09-15,4
 tv conjur,2020-09-03 14:51:07,2020,September,Thursday,2020-09-03,14
 spotniks feminista,2020-08-27 22:20:22,2020,August,Thursday,2020-08-27,22
 spotniks coronavirus,2020-08-27 22:20:14,2020,August,Thursday,2020-08-27,22
 spotniks,2020-08-27 22:20:05,2020,August,Thursday,2020-08-27,22
 documentary coronavirus,2020-08-27 15:44:10,2020,August,Thursday,2020-08-27,15
 jorge aragao,2020-08-15 18:02:05,2020,August,Saturday,2020-08-15,18
 glaucia lemos,2020-08-01 17:36:32,2020,August,Saturday,2020-08-01,17
 space today,2020-07-31 00:14:17,2020,July,Friday,2020-07-31,0
 space today,2020-07-30 12:21:29,2020,July,Thursday,2020-07-30,12
 mensageiro siderai,2020-07-30 12:07:11,2020,July,Thursday,2020-07-30,12
 mensageiro siderai,2020-07-30 11:28:30,2020,July,Thursday,2020-07-30,11
 nasa perseverance,2020-07-30 11:16:19,2020,July,Thursday,2020-07-30,11
 lançamento perseverance,2020-07-30 10:44:42,2020,July,Thursday,2020-07-30,10
 copo da felicidade,2020-07-27 21:58:08,2020,July,Monday,2020-07-27,21
 chaveco,2020-07-27 00:01:26,2020,July,Monday,2020-07-27,0
 boraparapratica,2020-07-26 13:40:32,2020,July,Sunday,2020-07-26,13
 placenta prévia,2020-07-21 23:27:46,2020,July,Tuesday,2020-07-21,23
 filipe deschamps rocketseat,2020-07-20 23:55:42,2020,July,Monday,2020-07-20,23
 remedio gato isa,2020-07-16 20:53:19,2020,July,Thursday,2020-07-16,20
 puerperio,2020-07-09 22:18:01,2020,July,Thursday,2020-07-09,22
 como instalar programa no lubuntu,2020-07-06 22:29:08,2020,July,Monday,2020-07-06,22
 principio de degeneração articular tornozelo,2020-07-06 10:16:53,2020,July,Monday,2020-07-06,10
 meu querido meu velho meu amigo roberto carlos,2020-07-04 18:34:13,2020,July,Saturday,2020-07-04,18
 okonomiyaki,2020-06-30 21:15:21,2020,June,Tuesday,2020-06-30,21
 takoyaki,2020-06-30 21:11:03,2020,June,Tuesday,2020-06-30,21
 nerckie raciocinio logico,2020-06-28 18:18:57,2020,June,Sunday,2020-06-28,18
 nerckie raciocinio logico,2020-06-27 00:08:17,2020,June,Saturday,2020-06-27,0
Visited https://fluencyweek.com.br/convite/yt,2020-06-26 18:50:29,2020,June,Friday,2020-06-26,18
 cnn brasil ao vivo,2020-06-26 12:36:04,2020,June,Friday,2020-06-26,12
 raciocínio lógico completo,2020-06-26 03:00:58,2020,June,Friday,2020-06-26,3
 cebola do outback,2020-06-25 20:59:00,2020,June,Thursday,2020-06-25,20
 lógica matemática,2020-06-25 18:26:16,2020,June,Thursday,2020-06-25,18
 womakerscode,2020-06-16 03:11:41,2020,June,Tuesday,2020-06-16,3
 matemática para informática,2020-06-12 15:27:29,2020,June,Friday,2020-06-12,15
 schwarza,2020-06-12 02:51:28,2020,June,Friday,2020-06-12,2
 space today,2020-05-31 21:26:02,2020,May,Sunday,2020-05-31,21
 space today,2020-05-30 00:16:13,2020,May,Saturday,2020-05-30,0
 treino para gestantes,2020-05-24 17:33:23,2020,May,Sunday,2020-05-24,17
 rubel só pra te mostrar,2020-05-21 17:50:54,2020,May,Thursday,2020-05-21,17
 acabou chorare cicero,2020-05-21 17:49:25,2020,May,Thursday,2020-05-21,17
 recordar é tv baden powell,2020-05-14 04:44:35,2020,May,Thursday,2020-05-14,4
 realidade cnn,2020-05-13 12:44:48,2020,May,Wednesday,2020-05-13,12
 forever young dylan cover,2020-05-12 12:04:45,2020,May,Tuesday,2020-05-12,12
 joan baez forever young,2020-05-12 11:56:50,2020,May,Tuesday,2020-05-12,11
 live roberto carlos,2020-05-11 15:04:03,2020,May,Monday,2020-05-11,15
 mundo pos pandemia cnn,2020-05-03 12:39:12,2020,May,Sunday,2020-05-03,12
 mundo pos pandemia cnn,2020-05-03 10:16:59,2020,May,Sunday,2020-05-03,10
 stan taylor,2020-04-30 19:14:38,2020,April,Thursday,2020-04-30,19
 stan taylor,2020-04-30 15:29:04,2020,April,Thursday,2020-04-30,15
 stan taylor,2020-04-27 11:49:56,2020,April,Monday,2020-04-27,11
 your song elton john acoustic,2020-04-27 09:32:24,2020,April,Monday,2020-04-27,9
 tastemade,2020-04-25 18:34:22,2020,April,Saturday,2020-04-25,18
 panelinha rita lobo,2020-04-25 12:49:19,2020,April,Saturday,2020-04-25,12
 panelinha rita lobo,2020-04-25 02:10:30,2020,April,Saturday,2020-04-25,2
 ditadura sem achismos,2020-04-24 15:51:21,2020,April,Friday,2020-04-24,15
 brasilia 1000 dias,2020-04-24 00:26:40,2020,April,Friday,2020-04-24,0
 rita lobo,2020-04-23 23:50:25,2020,April,Thursday,2020-04-23,23
 history brasilia 1000 dias,2020-04-23 21:51:00,2020,April,Thursday,2020-04-23,21
 o filho que eu quero ter,2020-04-17 15:03:30,2020,April,Friday,2020-04-17,15
 queen winter's tale,2020-04-17 15:01:08,2020,April,Friday,2020-04-17,15
 nina simone backlash blues,2020-04-14 23:10:25,2020,April,Tuesday,2020-04-14,23
 feeling good acoustic,2020-04-14 22:56:59,2020,April,Tuesday,2020-04-14,22
 with arms wide open acoustic,2020-04-14 22:52:26,2020,April,Tuesday,2020-04-14,22
 nikka costa on my own,2020-04-14 22:24:18,2020,April,Tuesday,2020-04-14,22
 imoveis marketplace facebook,2020-03-15 22:43:30,2020,March,Sunday,2020-03-15,22
 market place facebook,2020-03-15 22:43:19,2020,March,Sunday,2020-03-15,22
 semana corretor de sucesso,2020-02-28 21:08:09,2020,February,Friday,2020-02-28,21
 flaira passista,2020-02-25 20:25:35,2020,February,Tuesday,2020-02-25,20
 flaira passosta,2020-02-25 20:24:47,2020,February,Tuesday,2020-02-25,20
 lava mao castelo,2020-02-23 13:53:01,2020,February,Sunday,2020-02-23,13
 ratinho do castelo ratimbum,2020-02-22 23:14:39,2020,February,Saturday,2020-02-22,23
 querosene jacaré,2020-02-21 13:26:38,2020,February,Friday,2020-02-21,13
 d.d.h.,2020-02-20 05:42:38,2020,February,Thursday,2020-02-20,5
 d.d.h.,2020-02-16 14:16:04,2020,February,Sunday,2020-02-16,14
 isa gateira limpar orelha,2020-02-11 13:19:59,2020,February,Tuesday,2020-02-11,13
 isa gateira orelha,2020-02-11 13:19:18,2020,February,Tuesday,2020-02-11,13
 isa gateira banho,2020-02-11 13:08:47,2020,February,Tuesday,2020-02-11,13
 corte da selic,2020-02-10 01:19:50,2020,February,Monday,2020-02-10,1
 espessamento nervo pé metatarsalgia,2020-02-07 04:29:34,2020,February,Friday,2020-02-07,4
 espessamento nervo pé,2020-02-07 04:28:53,2020,February,Friday,2020-02-07,4
 reserva polidoro,2020-02-06 20:10:41,2020,February,Thursday,2020-02-06,20
 tik tok como usar o app do momento,2020-01-28 04:06:56,2020,January,Tuesday,2020-01-28,4
 tik tok como usar o app,2020-01-28 04:06:45,2020,January,Tuesday,2020-01-28,4
 tik tok como usar,2020-01-28 04:05:57,2020,January,Tuesday,2020-01-28,4
 tik tok,2020-01-28 04:05:48,2020,January,Tuesday,2020-01-28,4
 portofino exata,2020-01-23 13:25:05,2020,January,Thursday,2020-01-23,13
 summer ville poupec,2020-01-23 12:56:20,2020,January,Thursday,2020-01-23,12
 summer ville,2020-01-23 12:56:13,2020,January,Thursday,2020-01-23,12
 adelmar afonso,2020-01-17 22:33:01,2020,January,Friday,2020-01-17,22
 só pra te mostrar rubel,2020-01-17 14:08:35,2020,January,Friday,2020-01-17,14
 garden ville,2020-01-07 13:46:30,2020,January,Tuesday,2020-01-07,13
 viva corretor,2019-12-02 14:56:38,2019,December,Monday,2019-12-02,14
 guilherme machado,2019-12-02 14:49:50,2019,December,Monday,2019-12-02,14
 parque do cais moura,2019-11-28 15:58:09,2019,November,Thursday,2019-11-28,15
 curso direito imobiliario,2019-11-19 01:39:56,2019,November,Tuesday,2019-11-19,1
 direito imobiliario,2019-11-19 01:37:44,2019,November,Tuesday,2019-11-19,1
 instituto monitor,2019-11-17 14:04:43,2019,November,Sunday,2019-11-17,14
 calospita brincando,2019-10-28 18:57:27,2019,October,Monday,2019-10-28,18
 calospita,2019-10-28 18:57:10,2019,October,Monday,2019-10-28,18
 dark night of the soul album,2019-10-14 18:29:14,2019,October,Monday,2019-10-14,18
 burgogui,2019-09-25 01:12:22,2019,September,Wednesday,2019-09-25,1
 okonomiyaki,2019-09-25 01:06:06,2019,September,Wednesday,2019-09-25,1
 cooking with the dog,2019-09-25 00:59:17,2019,September,Wednesday,2019-09-25,0
 cooking with thw dog,2019-09-25 00:59:13,2019,September,Wednesday,2019-09-25,0
 low roar album,2019-09-18 03:29:13,2019,September,Wednesday,2019-09-18,3
 low roar i'll keep coming,2019-09-18 03:29:02,2019,September,Wednesday,2019-09-18,3
 ignicaodigital,2019-09-06 14:51:57,2019,September,Friday,2019-09-06,14
 ignição digital,2019-09-06 14:51:06,2019,September,Friday,2019-09-06,14
 gordon ramsay brazil,2019-09-05 14:42:30,2019,September,Thursday,2019-09-05,14
 gordon ramsay,2019-09-05 14:42:02,2019,September,Thursday,2019-09-05,14
 erico rocha,2019-09-02 23:43:04,2019,September,Monday,2019-09-02,23
 plano de negocio sebrae,2019-09-02 23:37:28,2019,September,Monday,2019-09-02,23
 plano de negocios sebrae,2019-09-02 23:37:10,2019,September,Monday,2019-09-02,23
 youtube edu,2019-08-29 15:59:05,2019,August,Thursday,2019-08-29,15
 english in brazil,2019-08-29 15:58:52,2019,August,Thursday,2019-08-29,15
 me poupe,2019-08-28 23:05:11,2019,August,Wednesday,2019-08-28,23
 empreender,2019-08-28 20:25:00,2019,August,Wednesday,2019-08-28,20
 haddock lobo,2019-08-18 19:12:18,2019,August,Sunday,2019-08-18,19
 casa do saber,2019-08-18 19:12:04,2019,August,Sunday,2019-08-18,19
 bat sinal,2019-08-18 01:22:24,2019,August,Sunday,2019-08-18,1
 querosene jacaré - você não sabe da missa um terço,2019-08-17 05:20:26,2019,August,Saturday,2019-08-17,5
 querosene jacaré,2019-08-17 05:19:58,2019,August,Saturday,2019-08-17,5
 you and i scorpions,2019-08-16 23:58:58,2019,August,Friday,2019-08-16,23
 you and i scorpuons,2019-08-16 23:58:55,2019,August,Friday,2019-08-16,23
 you and i,2019-08-16 23:58:48,2019,August,Friday,2019-08-16,23
 curso de ações de comandos,2019-08-15 05:48:29,2019,August,Thursday,2019-08-15,5
 forcas eapeciais na rocinha,2019-08-15 05:35:20,2019,August,Thursday,2019-08-15,5
 casa de matar,2019-08-15 05:30:48,2019,August,Thursday,2019-08-15,5
 armas na mesa,2019-08-15 05:24:37,2019,August,Thursday,2019-08-15,5
 miss sloane trailer legendado,2019-08-15 05:19:38,2019,August,Thursday,2019-08-15,5
 miss sloane,2019-08-15 05:14:17,2019,August,Thursday,2019-08-15,5
 bita e os animais,2019-08-11 15:29:05,2019,August,Sunday,2019-08-11,15
 menina rindo na igreja,2019-07-15 19:29:05,2019,July,Monday,2019-07-15,19
 igreja evangelica,2019-07-15 19:28:27,2019,July,Monday,2019-07-15,19
 igreja wvangelica,2019-07-15 19:27:08,2019,July,Monday,2019-07-15,19
 carla reis bora tomar uma,2019-07-14 23:49:44,2019,July,Sunday,2019-07-14,23
 mulher voz grossa,2019-07-14 23:47:50,2019,July,Sunday,2019-07-14,23
 boca de lobo,2019-06-27 02:33:56,2019,June,Thursday,2019-06-27,2
 café vitao,2019-06-21 20:08:58,2019,June,Friday,2019-06-21,20
 biggie n,2019-06-18 22:51:57,2019,June,Tuesday,2019-06-18,22
 #RapPE,2019-06-18 22:31:38,2019,June,Tuesday,2019-06-18,22
 djonga,2019-06-18 15:31:37,2019,June,Tuesday,2019-06-18,15
 marcelo d2 joao rock 2019,2019-06-16 18:35:59,2019,June,Sunday,2019-06-16,18
 d.d.h. solitária,2019-06-14 21:28:14,2019,June,Friday,2019-06-14,21
 d.d.h. a sigla,2019-06-14 21:28:00,2019,June,Friday,2019-06-14,21
 d.d.h.,2019-06-14 21:27:15,2019,June,Friday,2019-06-14,21
 heresia djonga,2019-06-09 21:32:25,2019,June,Sunday,2019-06-09,21
 d.d.h a sigla,2019-06-09 18:01:47,2019,June,Sunday,2019-06-09,18
 jaozim sangue,2019-06-02 14:03:38,2019,June,Sunday,2019-06-02,14
 cordel marginal,2019-05-24 15:05:14,2019,May,Friday,2019-05-24,15
 edgar album,2019-05-24 14:52:09,2019,May,Friday,2019-05-24,14
 ddh,2019-05-24 14:19:53,2019,May,Friday,2019-05-24,14
 ddh playlist,2019-05-24 14:17:07,2019,May,Friday,2019-05-24,14
 mandume,2019-05-21 04:04:47,2019,May,Tuesday,2019-05-21,4
 papo de segunda,2019-05-21 04:04:05,2019,May,Tuesday,2019-05-21,4
 manos e minas igor chico,2019-05-21 03:28:19,2019,May,Tuesday,2019-05-21,3
 slam das minas,2019-05-13 15:31:35,2019,May,Monday,2019-05-13,15
 slam,2019-05-13 15:31:28,2019,May,Monday,2019-05-13,15
 emicida livre emocional,2019-05-11 19:31:04,2019,May,Saturday,2019-05-11,19
 eminencia parda emicida,2019-05-10 01:06:08,2019,May,Friday,2019-05-10,1
 acustico marcelo d2 mtv,2019-04-27 14:48:49,2019,April,Saturday,2019-04-27,14
 small advantages,2019-04-23 15:26:10,2019,April,Tuesday,2019-04-23,15
 anjos na rebeldia,2019-04-17 04:46:15,2019,April,Wednesday,2019-04-17,4
 love is a losing game,2019-04-17 04:42:31,2019,April,Wednesday,2019-04-17,4
 liniker zero,2019-04-17 04:27:36,2019,April,Wednesday,2019-04-17,4
 voce vai entender,2019-04-17 04:14:13,2019,April,Wednesday,2019-04-17,4
 anavitória fica,2019-04-17 02:30:47,2019,April,Wednesday,2019-04-17,2
 small advantages,2019-03-31 19:30:21,2019,March,Sunday,2019-03-31,19
 poesia acustica,2019-03-25 16:23:38,2019,March,Monday,2019-03-25,16
 organico 6,2019-03-22 03:41:52,2019,March,Friday,2019-03-22,3
 voce vai entender,2019-03-21 10:43:30,2019,March,Thursday,2019-03-21,10
 voce nao ama ninguém,2019-03-19 03:44:41,2019,March,Tuesday,2019-03-19,3
 god is an astronaut age of the fifth sun,2019-03-18 01:45:33,2019,March,Monday,2019-03-18,1
 god astronaut,2019-03-18 01:44:56,2019,March,Monday,2019-03-18,1
 ben howard maida vale session,2019-03-18 01:24:36,2019,March,Monday,2019-03-18,1
 ben howard maida vale,2019-03-18 01:24:25,2019,March,Monday,2019-03-18,1
 muleque de vila projota audio,2019-03-16 04:39:42,2019,March,Saturday,2019-03-16,4
 moleque de vila projota audio,2019-03-16 04:38:50,2019,March,Saturday,2019-03-16,4
 muleque de vila projota,2019-03-16 04:37:22,2019,March,Saturday,2019-03-16,4
 muleque de vila show livre,2019-03-16 04:36:07,2019,March,Saturday,2019-03-16,4
 pra nao dizer que eu nao falei do odio show livre,2019-03-16 04:30:53,2019,March,Saturday,2019-03-16,4
 pra nao dizer que eu nao falei do odio,2019-03-16 04:27:54,2019,March,Saturday,2019-03-16,4
 pra nao dizer que eu nao falei do dio,2019-03-16 04:20:46,2019,March,Saturday,2019-03-16,4
 djonga ladrao,2019-03-15 14:29:53,2019,March,Friday,2019-03-15,14
 tedx talks brasil,2019-03-14 19:43:26,2019,March,Thursday,2019-03-14,19
 tedx talks,2019-03-14 19:43:07,2019,March,Thursday,2019-03-14,19
 niall ferguson,2019-03-14 19:42:54,2019,March,Thursday,2019-03-14,19
 djonga ladrao,2019-03-14 14:56:44,2019,March,Thursday,2019-03-14,14
 djonga ladrao,2019-03-14 11:45:15,2019,March,Thursday,2019-03-14,11
 djonga,2019-03-14 11:45:01,2019,March,Thursday,2019-03-14,11
 ddh beco sujo,2019-03-13 19:20:28,2019,March,Wednesday,2019-03-13,19
 ddh lento,2019-03-13 19:20:06,2019,March,Wednesday,2019-03-13,19
 ddh exxxtrala,2019-03-13 19:18:59,2019,March,Wednesday,2019-03-13,19
 ddh tattoo da city,2019-03-13 19:13:41,2019,March,Wednesday,2019-03-13,19
 ddh genesis criogenicos,2019-03-13 19:11:04,2019,March,Wednesday,2019-03-13,19
 ddh santissima trindade,2019-03-13 19:08:49,2019,March,Wednesday,2019-03-13,19
 ddh bluesrap,2019-03-13 18:54:38,2019,March,Wednesday,2019-03-13,18
 ddh abra cabra,2019-03-13 18:49:13,2019,March,Wednesday,2019-03-13,18
 ddh abra cabra,2019-03-13 16:12:01,2019,March,Wednesday,2019-03-13,16
 a sigla direto do hospício,2019-03-13 16:03:04,2019,March,Wednesday,2019-03-13,16
 organico,2019-03-11 03:26:33,2019,March,Monday,2019-03-11,3
 lourraine,2019-03-11 03:25:06,2019,March,Monday,2019-03-11,3
