Video,Channel,Time,Year,Month,Day_week,Date,Hour,Part_of_day
Visited https://use.runrun.it/cronograma-de-projetos/?utm_source=youtube&utm_medium=cpc&utm_campaign=youtube_trv_action&utm_adgroup=intencao_buscas_gantt,Advertisement (Google AdSense),2021-06-08 16:14:02,2021,June,Tuesday,2021-06-08,16,Afternoon
 Curso de PostgreSQL - LIMIT e OFFSET - Limitar resultados de consultas,Bóson Treinamentos,2021-06-08 13:52:21,2021,June,Tuesday,2021-06-08,13,Afternoon
 PostgreSQL - Ordenar resultados de consultas com ORDER BY,Bóson Treinamentos,2021-06-08 13:28:30,2021,June,Tuesday,2021-06-08,13,Afternoon
 Como filtrar consultas com a cláusula WHERE no PostgreSQL,Bóson Treinamentos,2021-06-08 13:17:00,2021,June,Tuesday,2021-06-08,13,Afternoon
 PostgreSQL - Como realizar consultas simples em tabelas com o comando SELECT,Bóson Treinamentos,2021-06-08 13:03:43,2021,June,Tuesday,2021-06-08,13,Afternoon
 PostgreSQL - Inserir registros em tabelas com INSERT INTO,Bóson Treinamentos,2021-06-08 13:03:27,2021,June,Tuesday,2021-06-08,13,Afternoon
 Curso de PostgreSQL - Como criar tabelas com CREATE TABLE,Bóson Treinamentos,2021-06-08 11:45:31,2021,June,Tuesday,2021-06-08,11,Morning
 Curso de PostgreSQL - Tipos de Dados,Bóson Treinamentos,2021-06-08 11:38:59,2021,June,Tuesday,2021-06-08,11,Morning
 Curso de PostgreSQL - Criar e Excluir Bancos de Dados com psql e pgAdmin,Bóson Treinamentos,2021-06-08 10:02:35,2021,June,Tuesday,2021-06-08,10,Morning
" Com o TIM Pré TOP, a música não para | TIM",Advertisement (Google AdSense),2021-06-08 09:37:05,2021,June,Tuesday,2021-06-08,9,Morning
 Como instalar e acessar o pgAdmin4 no Linux Debian  - Curso de PostgreSQL,Bóson Treinamentos,2021-06-08 09:20:55,2021,June,Tuesday,2021-06-08,9,Morning
 PostgreSQL - Como criar e excluir usuários com createuser e dropuser,Bóson Treinamentos,2021-06-08 08:30:23,2021,June,Tuesday,2021-06-08,8,Early Morning
 Configurar acesso por senha no psql para o PostgreSQL,Bóson Treinamentos,2021-06-08 04:38:25,2021,June,Tuesday,2021-06-08,4,Late Night
 Curso de PostgreSQL - Comandos básicos do utilitário psql,Bóson Treinamentos,2021-06-08 04:20:01,2021,June,Tuesday,2021-06-08,4,Late Night
 Aula 1   Introdução ao PostgreSQL,Vitor Mazuco,2021-06-08 02:54:04,2021,June,Tuesday,2021-06-08,2,Late Night
 Live de Python #87 - Decoradores,Eduardo Mendes,2021-06-07 22:02:39,2021,June,Monday,2021-06-07,22,Night
 Tutorial de python: Decoradores,Mundo Python,2021-06-07 22:01:47,2021,June,Monday,2021-06-07,22,Night
 Como NÃO fazer visualização de dados - Luiza Araújo,AI Girls Comunidade,2021-06-07 16:27:50,2021,June,Monday,2021-06-07,16,Afternoon
 Aulas Python - 126 - Decoradores de Funções,Ignorância Zero,2021-06-07 13:41:18,2021,June,Monday,2021-06-07,13,Afternoon
 O que é ORM? #AluraMais,Alura Cursos Online,2021-06-06 17:55:07,2021,June,Sunday,2021-06-06,17,Evening
 SQLAlchemy ORM Tutorial #1 - Introduction,Jerin Jose,2021-06-06 17:31:09,2021,June,Sunday,2021-06-06,17,Evening
 Como NÃO fazer visualização de dados - Luiza Araújo,AI Girls Comunidade,2021-06-05 18:29:03,2021,June,Saturday,2021-06-05,18,Evening
 DynamoDB | Branquinho | Papo Reto | T5E1,Bluesoft Labs,2021-06-05 09:35:30,2021,June,Saturday,2021-06-05,9,Morning
 Apollo vs Orion Finally Explained,I Need More Space,2021-06-05 07:30:56,2021,June,Saturday,2021-06-05,7,Early Morning
 NASA | Exploration Mission-1 – Pushing Farther Into Deep Space,NASA Video,2021-06-05 07:21:04,2021,June,Saturday,2021-06-05,7,Early Morning
" Como FORMATAR o Notebook Samsung Book E20, E30, X20, X30, X40, X45, X50 e X55",RAMOS INFO,2021-06-04 02:56:40,2021,June,Friday,2021-06-04,2,Late Night
" Como FORMATAR Notebook Samsung Book E20, E30, X20, X30, X40, X45, X50 e X55",Euripedes,2021-06-04 02:56:15,2021,June,Friday,2021-06-04,2,Late Night
 Entrevista L7NNON - 99 DROPS,99 PRO,2021-06-04 01:20:42,2021,June,Friday,2021-06-04,1,Late Night
 Boot pelo pen drive no notebook Samsung. (bios Samsung),Dicas do Marcelo,2021-06-03 20:38:55,2021,June,Thursday,2021-06-03,20,Evening
 Aula Sobre o Comando LDCONFIG #LINUX,Certificação Linux,2021-06-03 06:41:06,2021,June,Thursday,2021-06-03,6,Early Morning
" Números Negativos, Inteiros e a Subtração - Matemática Básica Super (Aula 1.2)",Curso Gabaritei,2021-06-01 14:02:36,2021,June,Tuesday,2021-06-01,14,Afternoon
" Os Números Positivos, Soma e Multiplicação - Matemática Básica Super (Aula 1.1)",Curso Gabaritei,2021-06-01 13:36:52,2021,June,Tuesday,2021-06-01,13,Afternoon
 Horas Complementares - reconhecido automático pelo SIA e GRATIS.,Canal Estaciando,2021-06-01 04:34:47,2021,June,Tuesday,2021-06-01,4,Late Night
 Como enviar o comprovante da atividade complementar externa (AAC) - Sia Estácio 2016.2,Rodrigo Oliveira Tutoriais,2021-06-01 04:16:01,2021,June,Tuesday,2021-06-01,4,Late Night
 Saiba o que são horas AAC,Estácio,2021-06-01 04:11:40,2021,June,Tuesday,2021-06-01,4,Late Night
 Saiba como lançar suas horas AAC externas,Estácio,2021-06-01 03:58:26,2021,June,Tuesday,2021-06-01,3,Late Night
 Using Python to Explore Space | Learn with Dr G,Microsoft Developer,2021-05-30 21:22:15,2021,May,Sunday,2021-05-30,21,Night
 Glossário | Você conhece o gráfico de RAMACHANDRAN?,OnlineBioinfo Bioinformática,2021-05-30 21:12:22,2021,May,Sunday,2021-05-30,21,Night
 Instalar IRPF 2021 no Ubuntu Linux | Como instalar programa imposto de renda no Linux Ubuntu,Newbie Aulas,2021-05-30 19:08:55,2021,May,Sunday,2021-05-30,19,Evening
 Linux Atualizar programa Imposto de Renda | Resolver erro atualização do IRPF 2021 | Como atualizar,Newbie Aulas,2021-05-30 18:56:37,2021,May,Sunday,2021-05-30,18,Evening
 Metabase - Perguntas com agrupamento e filtro,Gabriel Braico Dornas,2021-05-26 23:25:53,2021,May,Wednesday,2021-05-26,23,Night
 Himouto! Umaru-chan OP,animelab,2021-05-26 13:36:31,2021,May,Wednesday,2021-05-26,13,Afternoon
 Supletivo DH - Metabase,Rodrigo TeORiA,2021-05-25 00:08:31,2021,May,Tuesday,2021-05-25,0,Late Night
 IV Ada Lovelace Day - Período Noturno,Meninas Digitais No Cerrado,2021-05-22 18:52:34,2021,May,Saturday,2021-05-22,18,Evening
 Explicando a Diferença entre INNER   LEFT   RIGHT E OUTER JOIN,Prof. Tássio Gonçalves,2021-05-22 18:04:17,2021,May,Saturday,2021-05-22,18,Evening
 Curso MySQL #16 - INNER JOIN com várias tabelas,Curso em Vídeo,2021-05-22 15:55:02,2021,May,Saturday,2021-05-22,15,Afternoon
 Introdução ao PostgreSQL - Curso de Postgres,Bóson Treinamentos,2021-05-22 12:44:34,2021,May,Saturday,2021-05-22,12,Morning
 PostgreSQL - Como realizar consultas simples em tabelas com o comando SELECT,Bóson Treinamentos,2021-05-22 12:27:25,2021,May,Saturday,2021-05-22,12,Morning
 Banco de Dados com PostgreSQL - #06 - Atualizando dados - Update,Descompila,2021-05-22 12:21:21,2021,May,Saturday,2021-05-22,12,Morning
 COMO BAIXAR E INSTALAR O SISTEMA POP OS - Canal do Guga,Canal do Guga,2021-05-20 07:55:34,2021,May,Thursday,2021-05-20,7,Early Morning
 Ubuntu 20.04 já virou decepção? - DR #60,Diolinux,2021-05-20 07:54:13,2021,May,Thursday,2021-05-20,7,Early Morning
 Como instalar e acessar o pgAdmin4 no Linux Debian  - Curso de PostgreSQL,Bóson Treinamentos,2021-05-19 15:05:33,2021,May,Wednesday,2021-05-19,15,Afternoon
" Beijo de Humor, fale na língua do beijo – Natura",Advertisement (Google AdSense),2021-05-19 15:05:21,2021,May,Wednesday,2021-05-19,15,Afternoon
 MagaluCard - Magalu,Advertisement (Google AdSense),2021-05-19 15:05:15,2021,May,Wednesday,2021-05-19,15,Afternoon
 PostgreSQL - Instalando o phpPgAdmin para gerenciamento remoto do SGBD - 02,Bóson Treinamentos,2021-05-19 15:04:40,2021,May,Wednesday,2021-05-19,15,Afternoon
 PostgreSQL - Instalação do SGBD no Linux Debian - 01,Bóson Treinamentos,2021-05-19 15:02:53,2021,May,Wednesday,2021-05-19,15,Afternoon
 🔵 COMO instalar o POSTGRESQL e PGADMIN no GNU/Linux Ubuntu 18.04.x LTS,Bora para prática!!!,2021-05-19 14:40:23,2021,May,Wednesday,2021-05-19,14,Afternoon
 How to install pgAdmin 4 on Ubuntu 20.04 LTS | Install pgAdmin 4 on Linux | Working with pgAdmin 4,OSTechHelp,2021-05-19 13:36:25,2021,May,Wednesday,2021-05-19,13,Afternoon
 O que todo mundo deveria saber sobre Backups (Rotina de Backups),Diolinux,2021-05-19 13:04:37,2021,May,Wednesday,2021-05-19,13,Afternoon
 Criando pontos de RESTAURAÇÃO no LINUX com TIMESHIFT,Diolinux,2021-05-19 13:04:20,2021,May,Wednesday,2021-05-19,13,Afternoon
 ONDE tirar DÚVIDAS sobre LINUX?-  Diolinux PLUS,Diolinux,2021-05-19 07:01:28,2021,May,Wednesday,2021-05-19,7,Early Morning
 Que ajustes eu faço no meu desktop? (Dicas e Extensões),Diolinux,2021-05-19 04:42:28,2021,May,Wednesday,2021-05-19,4,Late Night
 Recuperando um sistema operacional com TimeShift,Diolinux,2021-05-18 04:45:43,2021,May,Tuesday,2021-05-18,4,Late Night
 Windows 10 De Graça! Como Baixar e Instalar!,Omnia Tech,2021-05-18 00:21:00,2021,May,Tuesday,2021-05-18,0,Late Night
 Fazendo consultas SQL no DBeaver,Maria Luiza Mondelli,2021-05-17 15:25:30,2021,May,Monday,2021-05-17,15,Afternoon
 Erros comuns,Maria Luiza Mondelli,2021-05-17 15:22:16,2021,May,Monday,2021-05-17,15,Afternoon
" Os Números Positivos, Soma e Multiplicação - Matemática Básica Super (Aula 1.1)",Curso Gabaritei,2021-05-17 05:38:08,2021,May,Monday,2021-05-17,5,Early Morning
 COMO APRENDER MATEMÁTICA BÁSICA EM 7 DIAS | Curso Completo (Aula 0),Aprenda Qualquer Coisa,2021-05-17 05:34:52,2021,May,Monday,2021-05-17,5,Early Morning
 Projeto Prático de Machine Learning para Portfólio | Data Science com Python.,Stack,2021-05-16 17:54:21,2021,May,Sunday,2021-05-16,17,Evening
 O Futuro do trabalho e as novas profissões digitais,Comunicação Tera,2021-05-16 00:29:21,2021,May,Sunday,2021-05-16,0,Late Night
 Vamos conversar no Discord? | Instalando no Linux,LINUXtips,2021-05-15 14:18:34,2021,May,Saturday,2021-05-15,14,Afternoon
 Instalando o MySQL 8 no Ubuntu 20.04 e Usando Workbench no Windows 10,hcode,2021-05-15 14:04:29,2021,May,Saturday,2021-05-15,14,Afternoon
 Pensando Orientado a Objetos na prática,Digital Innovation One,2021-05-15 13:37:44,2021,May,Saturday,2021-05-15,13,Afternoon
 Imersão Dados - Live de abertura - 18h30 (Horário de Brasília),Alura Cursos Online,2021-05-15 06:14:08,2021,May,Saturday,2021-05-15,6,Early Morning
 Using Python to Explore Space | Learn with Dr G,Microsoft Developer,2021-05-15 03:32:09,2021,May,Saturday,2021-05-15,3,Late Night
 Using Python to Explore Space | Learn with Dr G,Microsoft Developer,2021-05-14 08:54:40,2021,May,Friday,2021-05-14,8,Early Morning
 Introdução à Linguagem SQL- PostgreSQL- Funções de Agregação e Arredondamento- MIN MAX AVG SUM COUNT,"DesCOMPlica, Oliba!",2021-05-14 04:46:09,2021,May,Friday,2021-05-14,4,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Busca de Dados de Tabelas - SELECT FROM WHERE,"DesCOMPlica, Oliba!",2021-05-14 04:19:22,2021,May,Friday,2021-05-14,4,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Remoção de Dados de Tabelas - DELETE FROM WHERE,"DesCOMPlica, Oliba!",2021-05-14 04:16:05,2021,May,Friday,2021-05-14,4,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Diretivas de Remoção- ON DELETE CASCADE RESTRICT NO ACTION,"DesCOMPlica, Oliba!",2021-05-14 03:11:29,2021,May,Friday,2021-05-14,3,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Diretivas de Remoção- ON DELETE CASCADE RESTRICT NO ACTION,"DesCOMPlica, Oliba!",2021-05-14 02:57:03,2021,May,Friday,2021-05-14,2,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Destruição de Tabelas (e Dados) - DROP TABLE,"DesCOMPlica, Oliba!",2021-05-14 02:56:55,2021,May,Friday,2021-05-14,2,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Remoção de Todos os Dados de Tabela (Esvaziamento),"DesCOMPlica, Oliba!",2021-05-14 02:55:29,2021,May,Friday,2021-05-14,2,Late Night
 Introdução à Linguagem SQL (PostgreSQL) - Busca de Dados de Tabelas - SELECT FROM WHERE,"DesCOMPlica, Oliba!",2021-05-14 00:58:56,2021,May,Friday,2021-05-14,0,Late Night
 AULA 14 → Implementação dos algoritmos de ordenação Merge Sort em Python! — ESTRUT. DE DADOS,Python Pro,2021-05-13 22:33:20,2021,May,Thursday,2021-05-13,22,Night
 Introdução à Linguagem SQL- PostgreSQL- Funções de Agregação e Arredondamento- MIN MAX AVG SUM COUNT,"DesCOMPlica, Oliba!",2021-05-13 22:32:52,2021,May,Thursday,2021-05-13,22,Night
 Introdução à Linguagem SQL (PostgreSQL) - Remoção de Dados de Tabelas - DELETE FROM WHERE,"DesCOMPlica, Oliba!",2021-05-13 20:36:15,2021,May,Thursday,2021-05-13,20,Evening
 Introdução à Linguagem SQL (PostgreSQL) - Comandos de Inserção em Detalhes (INSERT INTO  VALUES),"DesCOMPlica, Oliba!",2021-05-13 16:34:36,2021,May,Thursday,2021-05-13,16,Afternoon
